CDF,DateSolde,Solde
72002,2020-04-02,-857412.65
72003,2020-04-02,-427998.36
72004,2020-04-02,-241153.85
72005,2020-04-02,-979461.01
72006,2020-04-02,-440173.88
72007,2020-04-02,-839773.58
72010,2020-04-02,-202942.89
72011,2020-04-02,-477567.15
72012,2020-04-02,-452653.72
72015,2020-04-02,-699898.15
72016,2020-04-02,-154829.85
72017,2020-04-02,-339069.46
72601,2020-04-02,-405037.8
72602,2020-04-02,-525140.95
72701,2020-04-02,-342567.92
72702,2020-04-02,-306580.86
72801,2020-04-02,-348605.98
72802,2020-04-02,-186063.69
73101,2020-04-02,-1157517.16
73102,2020-04-02,-491775.55
73103,2020-04-02,-51981.65
73501,2020-04-02,-814881.48
73502,2020-04-02,-468780.81
73503,2020-04-02,-718251.41
75001,2020-04-02,-1322912.42
75002,2020-04-02,-1812191.78
75003,2020-04-02,-465988.9
76101,2020-04-02,-394600.75
76501,2020-04-02,-856921.57
78003,2020-04-02,-760508.35
78004,2020-04-02,-916298.09
78005,2020-04-02,-586835.79
78006,2020-04-02,-1017542.2
78007,2020-04-02,-144847.11
78008,2020-04-02,-653083.4
78009,2020-04-02,-1924735.47
78010,2020-04-02,-437046.14
78013,2020-04-02,-1052243.7
78014,2020-04-02,-769292.77
78015,2020-04-02,-3824365.41
78016,2020-04-02,-1285840.61
78017,2020-04-02,-967700.63
78019,2020-04-02,-1129725.85
78020,2020-04-02,-656787.34
78021,2020-04-02,-301187.92
78023,2020-04-02,-180464.59
78024,2020-04-02,-205107.48
78025,2020-04-02,-430631.56
78026,2020-04-02,-780935.79
78027,2020-04-02,-678926.83
78028,2020-04-02,-456476.93
78029,2020-04-02,-1333234.17
78030,2020-04-02,-233455.51
78031,2020-04-02,-1287209.44
78032,2020-04-02,-3362418.92
78033,2020-04-02,-5284145.13
78034,2020-04-02,-1364516.12
78035,2020-04-02,-1023529.28
78036,2020-04-02,-276906.41
78037,2020-04-02,-1256622.19
78038,2020-04-02,-464201.69
78039,2020-04-02,-403012.25
78040,2020-04-02,-863037.19
78041,2020-04-02,-552686.25
78043,2020-04-02,-335128.45
78044,2020-04-02,-595844.49
78045,2020-04-02,-486035.27
78046,2020-04-02,-794084.49
78047,2020-04-02,-181489.34
78048,2020-04-02,-116074.39
78049,2020-04-02,-614502.71
78050,2020-04-02,-247848.0
78051,2020-04-02,-400906.66
78052,2020-04-02,-586891.04
78053,2020-04-02,-124775.2
78054,2020-04-02,-2245324.12
78055,2020-04-02,-2111366.21
78056,2020-04-02,-415776.74
78057,2020-04-02,-382023.42
78058,2020-04-02,-200502.07
78059,2020-04-02,-516729.21
78060,2020-04-02,-647505.5
78061,2020-04-02,-530858.37
78062,2020-04-02,-614766.2
78063,2020-04-02,-363989.66
78064,2020-04-02,-634876.66
78065,2020-04-02,-400301.27
78066,2020-04-02,-1552322.79
78068,2020-04-02,-450015.31
78069,2020-04-02,-735469.11
78070,2020-04-02,-614329.11
78071,2020-04-02,-618156.45
78072,2020-04-02,-791138.75
78073,2020-04-02,-635513.24
78075,2020-04-02,-472397.41
78076,2020-04-02,-512210.95
78077,2020-04-02,-802708.78
78079,2020-04-02,-896576.79
78080,2020-04-02,-170807.22
78081,2020-04-02,-2567753.28
78082,2020-04-02,-714024.51
78083,2020-04-02,-689559.11
78084,2020-04-02,-750115.82
78085,2020-04-02,-1059918.92
78086,2020-04-02,-328357.08
78087,2020-04-02,-453564.42
78088,2020-04-02,-62443.71
78089,2020-04-02,-825057.58
78090,2020-04-02,-558131.56
78091,2020-04-02,-523451.9
78092,2020-04-02,-239790.46
78093,2020-04-02,-115982.76
78094,2020-04-02,-335617.06
78096,2020-04-02,-1255622.93
78097,2020-04-02,-453839.55
78098,2020-04-02,-771942.45
78701,2020-04-02,-630334.1
78702,2020-04-02,-467153.53
78703,2020-04-02,-623340.48
78704,2020-04-02,-414156.63
78705,2020-04-02,-1000576.27
78706,2020-04-02,-122754.04
78707,2020-04-02,-115270.35
78708,2020-04-02,-239334.25
78709,2020-04-02,-968619.57
78710,2020-04-02,-498633.3
78711,2020-04-02,-179512.33
78712,2020-04-02,-38106.81
78714,2020-04-02,-157424.16
78715,2020-04-02,-338435.91
78719,2020-04-02,-303013.11
79101,2020-04-02,-916142.11
79102,2020-04-02,-771606.68
79110,2020-04-02,-189237.64
79112,2020-04-02,-877254.59
79113,2020-04-02,-231715.76
79301,2020-04-02,-509121.84
79302,2020-04-02,-765965.52
79314,2020-04-02,-699624.24
79315,2020-04-02,-404202.83
79316,2020-04-02,-262213.17
79318,2020-04-02,-356506.92
79319,2020-04-02,-138332.8
79320,2020-04-02,-412742.65
79322,2020-04-02,-344890.37
79323,2020-04-02,-293821.8
79324,2020-04-02,-393859.6
79325,2020-04-02,-335768.28
79326,2020-04-02,-344701.86
79327,2020-04-02,-411380.65
79330,2020-04-02,-694187.85
79331,2020-04-02,-775160.44
79332,2020-04-02,-510319.93
